lab,firstname,lastname,website,scholar_id
Bader,Gary D.,Bader ,https://baderlab.org/,22M9eisAAAAJ
Gaiti,Federico,Gaiti,https://www.gaitilab.com/team,MRlCOU4AAAAJ
Haibe-Kains,Benjamin,Haibe-Kains,https://www.pmgenomics.ca/bhklab/,hfGa2RMAAAAJ
Hoffman,Michael,Hoffman,https://hoffmanlab.org/,96r1DYUAAAAJ
Kumar,Sushant,Kumar,https://ccglab-uhn.github.io/,ujvDsFUAAAAJ
Liu,Geoffrey,Liu,https://www.uhncombiel.com/about-the-liu-lab,Zjy1VdkAAAAJ
Lupien,Mathieu,Lupien,https://www.pmgenomics.ca/lupienlab/,tepqzFEAAAAJ
Minden,Mark,Minden,https://medbio.utoronto.ca/faculty/minden,-
Moran,Michael,Moran,https://www.sickkids.ca/en/staff/m/michael-f-moran/,Zx8sm6cAAAAJ
Pugh,Trevor,Pugh,https://pughlab.org/,dVqnYDUAAAAJ
Schwartz,Gregory,Schwartz,https://medbio.utoronto.ca/faculty/schwartz,zNWiqkUAAAAJ
Xu,Wei,Xu,https://www.dlsph.utoronto.ca/faculty-profile/xu-wei/,bD0-KagAAAAJ
